subject_id,Filename,fold
304,IXI304-Guys-0862.nii.gz,0
575,IXI575-HH-2658.nii.gz,0
550,IXI550-Guys-1069.nii.gz,0
151,IXI151-Guys-0793.nii.gz,0
178,IXI178-Guys-0778.nii.gz,0
358,IXI358-Guys-0919.nii.gz,0
479,IXI479-Guys-1034.nii.gz,0
535,IXI535-Guys-1061.nii.gz,0
415,IXI415-Guys-0942.nii.gz,0
224,IXI224-Guys-0823.nii.gz,0
51,IXI051-HH-1328.nii.gz,0
59,IXI059-HH-1284.nii.gz,0
289,IXI289-Guys-0864.nii.gz,0
593,IXI593-Guys-1109.nii.gz,0
370,IXI370-Guys-0921.nii.gz,0
83,IXI083-HH-1357.nii.gz,0
288,IXI288-Guys-0879.nii.gz,0
158,IXI158-Guys-0783.nii.gz,0
247,IXI247-Guys-0838.nii.gz,0
250,IXI250-Guys-0836.nii.gz,0
508,IXI508-HH-2268.nii.gz,0
242,IXI242-HH-1722.nii.gz,0
491,IXI491-Guys-1032.nii.gz,0
531,IXI531-Guys-1057.nii.gz,0
194,IXI194-Guys-0818.nii.gz,0
424,IXI424-IOP-0991.nii.gz,0
177,IXI177-Guys-0831.nii.gz,0
375,IXI375-Guys-0925.nii.gz,0
238,IXI238-IOP-0883.nii.gz,0
482,IXI482-HH-2178.nii.gz,0
101,IXI101-Guys-0749.nii.gz,0
487,IXI487-Guys-1037.nii.gz,0
226,IXI226-HH-1618.nii.gz,0
335,IXI335-HH-1906.nii.gz,0
302,IXI302-HH-1883.nii.gz,0
326,IXI326-Guys-0907.nii.gz,0
397,IXI397-Guys-0953.nii.gz,0
297,IXI297-Guys-0886.nii.gz,0
153,IXI153-Guys-0782.nii.gz,0
181,IXI181-Guys-0790.nii.gz,0
265,IXI265-Guys-0845.nii.gz,0
474,IXI474-IOP-1138.nii.gz,0
130,IXI130-HH-1528.nii.gz,0
494,IXI494-Guys-1008.nii.gz,0
489,IXI489-Guys-1014.nii.gz,0
285,IXI285-Guys-0857.nii.gz,0
623,IXI623-Guys-1076.nii.gz,0
75,IXI075-Guys-0754.nii.gz,0
141,IXI141-Guys-0789.nii.gz,0
496,IXI496-Guys-1045.nii.gz,0
642,IXI642-Guys-1104.nii.gz,0
206,IXI206-HH-1650.nii.gz,0
503,IXI503-Guys-1021.nii.gz,0
600,IXI600-HH-2660.nii.gz,0
485,IXI485-HH-2180.nii.gz,0
57,IXI057-HH-1342.nii.gz,0
579,IXI579-Guys-1126.nii.gz,0
254,IXI254-HH-1705.nii.gz,1
216,IXI216-HH-1635.nii.gz,1
629,IXI629-Guys-1095.nii.gz,1
169,IXI169-Guys-0842.nii.gz,1
17,IXI017-Guys-0698.nii.gz,1
53,IXI053-Guys-0727.nii.gz,1
123,IXI123-Guys-0774.nii.gz,1
511,IXI511-HH-2238.nii.gz,1
455,IXI455-Guys-0981.nii.gz,1
48,IXI048-HH-1326.nii.gz,1
64,IXI064-Guys-0743.nii.gz,1
580,IXI580-IOP-1157.nii.gz,1
630,IXI630-Guys-1108.nii.gz,1
601,IXI601-HH-2700.nii.gz,1
661,IXI661-HH-2788.nii.gz,1
357,IXI357-HH-2076.nii.gz,1
71,IXI071-Guys-0770.nii.gz,1
300,IXI300-Guys-0880.nii.gz,1
292,IXI292-IOP-0877.nii.gz,1
444,IXI444-HH-2270.nii.gz,1
276,IXI276-HH-1840.nii.gz,1
144,IXI144-Guys-0788.nii.gz,1
383,IXI383-HH-2099.nii.gz,1
327,IXI327-HH-1999.nii.gz,1
603,IXI603-HH-2701.nii.gz,1
563,IXI563-IOP-1153.nii.gz,1
34,IXI034-HH-1260.nii.gz,1
279,IXI279-Guys-1044.nii.gz,1
505,IXI505-Guys-1026.nii.gz,1
287,IXI287-Guys-0863.nii.gz,1
595,IXI595-IOP-1159.nii.gz,1
241,IXI241-Guys-0833.nii.gz,1
255,IXI255-HH-1882.nii.gz,1
610,IXI610-HH-2649.nii.gz,1
369,IXI369-Guys-0924.nii.gz,1
156,IXI156-Guys-0837.nii.gz,1
218,IXI218-HH-1815.nii.gz,1
568,IXI568-HH-2607.nii.gz,1
476,IXI476-IOP-1140.nii.gz,1
353,IXI353-HH-1996.nii.gz,1
66,IXI066-Guys-0731.nii.gz,1
230,IXI230-IOP-0869.nii.gz,1
261,IXI261-HH-1704.nii.gz,1
165,IXI165-HH-1589.nii.gz,1
558,IXI558-Guys-1079.nii.gz,1
371,IXI371-IOP-0970.nii.gz,1
114,IXI114-Guys-0737.nii.gz,1
417,IXI417-Guys-0939.nii.gz,1
115,IXI115-Guys-0738.nii.gz,1
26,IXI026-Guys-0696.nii.gz,1
176,IXI176-HH-1604.nii.gz,1
229,IXI229-Guys-0980.nii.gz,1
525,IXI525-HH-2413.nii.gz,1
39,IXI039-HH-1261.nii.gz,1
400,IXI400-Guys-0977.nii.gz,1
223,IXI223-Guys-0830.nii.gz,1
191,IXI191-Guys-0801.nii.gz,1
627,IXI627-Guys-1103.nii.gz,1
128,IXI128-HH-1470.nii.gz,2
517,IXI517-IOP-1144.nii.gz,2
13,IXI013-HH-1212.nii.gz,2
523,IXI523-Guys-1056.nii.gz,2
379,IXI379-Guys-0943.nii.gz,2
633,IXI633-HH-2689.nii.gz,2
380,IXI380-Guys-0944.nii.gz,2
534,IXI534-Guys-1062.nii.gz,2
237,IXI237-Guys-1049.nii.gz,2
572,IXI572-HH-2605.nii.gz,2
348,IXI348-Guys-0910.nii.gz,2
252,IXI252-HH-1693.nii.gz,2
644,IXI644-Guys-1121.nii.gz,2
507,IXI507-Guys-1036.nii.gz,2
233,IXI233-IOP-0875.nii.gz,2
422,IXI422-Guys-1071.nii.gz,2
266,IXI266-Guys-0853.nii.gz,2
163,IXI163-HH-1621.nii.gz,2
378,IXI378-IOP-0972.nii.gz,2
308,IXI308-Guys-0884.nii.gz,2
56,IXI056-HH-1327.nii.gz,2
608,IXI608-HH-2599.nii.gz,2
480,IXI480-Guys-1033.nii.gz,2
611,IXI611-HH-2650.nii.gz,2
117,IXI117-Guys-0763.nii.gz,2
439,IXI439-HH-2114.nii.gz,2
105,IXI105-HH-1471.nii.gz,2
495,IXI495-Guys-1009.nii.gz,2
518,IXI518-HH-2239.nii.gz,2
617,IXI617-Guys-1090.nii.gz,2
360,IXI360-Guys-0912.nii.gz,2
168,IXI168-HH-1607.nii.gz,2
571,IXI571-IOP-1154.nii.gz,2
74,IXI074-Guys-0771.nii.gz,2
585,IXI585-Guys-1130.nii.gz,2
457,IXI457-Guys-0984.nii.gz,2
441,IXI441-HH-2154.nii.gz,2
398,IXI398-Guys-0952.nii.gz,2
256,IXI256-HH-1723.nii.gz,2
269,IXI269-Guys-0839.nii.gz,2
270,IXI270-Guys-0847.nii.gz,2
209,IXI209-Guys-0804.nii.gz,2
556,IXI556-HH-2452.nii.gz,2
316,IXI316-HH-1862.nii.gz,2
89,IXI089-Guys-0757.nii.gz,2
2,IXI002-Guys-0828.nii.gz,2
131,IXI131-HH-1527.nii.gz,2
554,IXI554-Guys-1068.nii.gz,2
120,IXI120-Guys-0766.nii.gz,2
442,IXI442-IOP-1041.nii.gz,2
161,IXI161-HH-2533.nii.gz,2
407,IXI407-Guys-0964.nii.gz,2
87,IXI087-Guys-0768.nii.gz,2
280,IXI280-HH-1860.nii.gz,2
362,IXI362-HH-2051.nii.gz,2
196,IXI196-Guys-0805.nii.gz,2
50,IXI050-Guys-0711.nii.gz,2
179,IXI179-Guys-0777.nii.gz,2
646,IXI646-HH-2653.nii.gz,3
234,IXI234-IOP-0870.nii.gz,3
437,IXI437-HH-2152.nii.gz,3
186,IXI186-Guys-0796.nii.gz,3
249,IXI249-Guys-1072.nii.gz,3
504,IXI504-Guys-1025.nii.gz,3
425,IXI425-IOP-0988.nii.gz,3
313,IXI313-HH-2241.nii.gz,3
537,IXI537-HH-2378.nii.gz,3
68,IXI068-Guys-0756.nii.gz,3
384,IXI384-HH-2100.nii.gz,3
100,IXI100-Guys-0747.nii.gz,3
274,IXI274-HH-2294.nii.gz,3
236,IXI236-Guys-0817.nii.gz,3
157,IXI157-Guys-0816.nii.gz,3
574,IXI574-IOP-1156.nii.gz,3
438,IXI438-HH-2155.nii.gz,3
244,IXI244-Guys-0841.nii.gz,3
108,IXI108-Guys-0865.nii.gz,3
599,IXI599-HH-2659.nii.gz,3
145,IXI145-Guys-0781.nii.gz,3
499,IXI499-Guys-1004.nii.gz,3
542,IXI542-IOP-1147.nii.gz,3
98,IXI098-Guys-0745.nii.gz,3
538,IXI538-HH-2411.nii.gz,3
267,IXI267-HH-1772.nii.gz,3
322,IXI322-IOP-0891.nii.gz,3
142,IXI142-Guys-0786.nii.gz,3
347,IXI347-IOP-0927.nii.gz,3
15,IXI015-HH-1258.nii.gz,3
324,IXI324-Guys-0922.nii.gz,3
172,IXI172-Guys-0982.nii.gz,3
239,IXI239-HH-2296.nii.gz,3
662,IXI662-Guys-1120.nii.gz,3
315,IXI315-IOP-0888.nii.gz,3
14,IXI014-HH-1236.nii.gz,3
76,IXI076-Guys-0753.nii.gz,3
591,IXI591-Guys-1084.nii.gz,3
67,IXI067-HH-1356.nii.gz,3
364,IXI364-Guys-0920.nii.gz,3
73,IXI073-Guys-0755.nii.gz,3
97,IXI097-HH-1619.nii.gz,3
552,IXI552-Guys-1063.nii.gz,3
213,IXI213-HH-1642.nii.gz,3
65,IXI065-Guys-0744.nii.gz,3
385,IXI385-HH-2078.nii.gz,3
24,IXI024-Guys-0705.nii.gz,3
96,IXI096-HH-1391.nii.gz,3
342,IXI342-Guys-0909.nii.gz,3
524,IXI524-HH-2412.nii.gz,3
403,IXI403-Guys-0965.nii.gz,3
84,IXI084-Guys-0741.nii.gz,3
562,IXI562-Guys-1131.nii.gz,3
55,IXI055-Guys-0730.nii.gz,3
110,IXI110-Guys-0733.nii.gz,3
356,IXI356-HH-2049.nii.gz,3
189,IXI189-Guys-0799.nii.gz,3
134,IXI134-Guys-0780.nii.gz,3
392,IXI392-Guys-1064.nii.gz,4
185,IXI185-Guys-0795.nii.gz,4
291,IXI291-IOP-0882.nii.gz,4
549,IXI549-Guys-1046.nii.gz,4
607,IXI607-Guys-1097.nii.gz,4
528,IXI528-Guys-1073.nii.gz,4
19,IXI019-Guys-0702.nii.gz,4
38,IXI038-Guys-0729.nii.gz,4
486,IXI486-Guys-1005.nii.gz,4
418,IXI418-Guys-0956.nii.gz,4
351,IXI351-Guys-0914.nii.gz,4
405,IXI405-Guys-0948.nii.gz,4
197,IXI197-Guys-0811.nii.gz,4
640,IXI640-Guys-1106.nii.gz,4
52,IXI052-HH-1343.nii.gz,4
164,IXI164-Guys-0844.nii.gz,4
207,IXI207-Guys-0809.nii.gz,4
597,IXI597-IOP-1161.nii.gz,4
387,IXI387-HH-2101.nii.gz,4
102,IXI102-HH-1416.nii.gz,4
91,IXI091-Guys-0762.nii.gz,4
569,IXI569-Guys-1101.nii.gz,4
277,IXI277-HH-1770.nii.gz,4
634,IXI634-HH-2690.nii.gz,4
639,IXI639-Guys-1088.nii.gz,4
609,IXI609-HH-2600.nii.gz,4
240,IXI240-Guys-0834.nii.gz,4
103,IXI103-Guys-0750.nii.gz,4
430,IXI430-IOP-0990.nii.gz,4
258,IXI258-HH-1769.nii.gz,4
446,IXI446-HH-2325.nii.gz,4
228,IXI228-Guys-0822.nii.gz,4
406,IXI406-Guys-0963.nii.gz,4
22,IXI022-Guys-0701.nii.gz,4
566,IXI566-HH-2535.nii.gz,4
295,IXI295-HH-1814.nii.gz,4
78,IXI078-Guys-0751.nii.gz,4
498,IXI498-Guys-1050.nii.gz,4
652,IXI652-Guys-1116.nii.gz,4
478,IXI478-IOP-1142.nii.gz,4
338,IXI338-HH-1971.nii.gz,4
37,IXI037-Guys-0704.nii.gz,4
345,IXI345-IOP-0928.nii.gz,4
423,IXI423-IOP-0974.nii.gz,4
449,IXI449-Guys-1082.nii.gz,4
107,IXI107-Guys-0761.nii.gz,4
459,IXI459-Guys-0992.nii.gz,4
477,IXI477-IOP-1141.nii.gz,4
334,IXI334-HH-1907.nii.gz,4
137,IXI137-HH-1472.nii.gz,4
493,IXI493-Guys-1007.nii.gz,4
367,IXI367-Guys-0917.nii.gz,4
329,IXI329-HH-1908.nii.gz,4
606,IXI606-HH-2601.nii.gz,4
548,IXI548-IOP-1150.nii.gz,4
501,IXI501-Guys-1016.nii.gz,4
448,IXI448-HH-2393.nii.gz,4
497,IXI497-Guys-1002.nii.gz,4
232,IXI232-IOP-0898.nii.gz,5
567,IXI567-HH-2536.nii.gz,5
210,IXI210-Guys-0856.nii.gz,5
199,IXI199-Guys-0802.nii.gz,5
29,IXI029-Guys-0829.nii.gz,5
30,IXI030-Guys-0708.nii.gz,5
298,IXI298-Guys-0861.nii.gz,5
555,IXI555-Guys-1074.nii.gz,5
126,IXI126-HH-1437.nii.gz,5
365,IXI365-Guys-0923.nii.gz,5
20,IXI020-Guys-0700.nii.gz,5
35,IXI035-IOP-0873.nii.gz,5
80,IXI080-HH-1341.nii.gz,5
596,IXI596-IOP-1160.nii.gz,5
467,IXI467-Guys-0983.nii.gz,5
587,IXI587-Guys-1128.nii.gz,5
521,IXI521-HH-2353.nii.gz,5
135,IXI135-Guys-0779.nii.gz,5
72,IXI072-HH-2324.nii.gz,5
21,IXI021-Guys-0703.nii.gz,5
456,IXI456-Guys-1019.nii.gz,5
391,IXI391-Guys-0934.nii.gz,5
112,IXI112-Guys-0735.nii.gz,5
119,IXI119-Guys-0765.nii.gz,5
99,IXI099-Guys-0748.nii.gz,5
551,IXI551-Guys-1065.nii.gz,5
516,IXI516-HH-2297.nii.gz,5
483,IXI483-HH-2177.nii.gz,5
469,IXI469-IOP-1136.nii.gz,5
263,IXI263-HH-1684.nii.gz,5
248,IXI248-HH-1972.nii.gz,5
214,IXI214-HH-1636.nii.gz,5
246,IXI246-Guys-0840.nii.gz,5
515,IXI515-HH-2377.nii.gz,5
414,IXI414-Guys-0957.nii.gz,5
46,IXI046-Guys-0824.nii.gz,5
318,IXI318-Guys-0895.nii.gz,5
431,IXI431-Guys-0986.nii.gz,5
43,IXI043-Guys-0714.nii.gz,5
88,IXI088-Guys-0758.nii.gz,5
389,IXI389-Guys-0930.nii.gz,5
582,IXI582-Guys-1127.nii.gz,5
113,IXI113-Guys-0776.nii.gz,5
543,IXI543-IOP-1148.nii.gz,5
12,IXI012-HH-1211.nii.gz,5
